a,b,c,d,e,f,g,h,i,FE
4.20,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,26.80
5.20,10.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,24.80
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,39.71
6.20,8.00,6.00,0.00,0.00,1.00,1.00,0.00,0.00,35.80
5.70,12.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,20.99
5.70,12.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,21.10
5.20,10.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,25.40
5.20,10.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,25.40
5.20,10.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,22.60
6.50,12.00,7.00,0.00,0.00,2.00,2.00,1.00,0.00,19.90
6.50,12.00,7.00,0.00,0.00,2.00,2.00,1.00,0.00,19.90
1.80,4.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,37.62
1.80,4.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,37.00
3.00,6.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,35.90
1.00,3.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,57.80
2.00,4.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,37.50
2.40,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,36.40
2.90,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,37.33
3.40,6.00,7.00,0.00,0.00,2.00,2.00,1.00,1.00,41.00
4.20,8.00,6.00,1.00,0.00,3.00,2.00,1.00,0.00,27.47
5.90,12.00,6.00,1.00,0.00,2.00,2.00,0.00,0.00,23.65
5.00,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,32.88
1.60,4.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,51.66
1.60,4.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,52.00
3.60,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,35.24
3.80,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,34.51
3.80,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,34.51
3.80,6.00,7.00,0.00,0.00,2.00,2.00,1.00,1.00,36.93
3.80,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,33.24
2.50,5.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,39.73
4.20,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,31.00
3.00,6.00,7.00,0.00,0.00,2.00,2.00,1.00,0.00,34.00
2.00,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,39.73
3.00,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,38.79
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,39.71
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,36.15
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,38.17
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,35.54
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,34.73
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,34.29
4.80,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,30.54
5.00,10.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,23.62
2.20,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,51.90
2.00,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,41.90
4.60,8.00,5.00,0.00,1.00,2.00,1.00,1.00,0.00,33.80
5.40,8.00,6.00,0.00,0.00,2.00,2.00,0.00,0.00,30.40
1.80,4.00,5.00,1.00,0.00,2.00,2.00,1.00,1.00,50.50
1.80,4.00,5.00,0.00,0.00,2.00,2.00,1.00,1.00,48.60
